molregno,n_total,n_select,pref_name,min_value,is_agonist,CHEMICAL_ID,canonical_smiles,tanimoto,tid,organism,component_id,accession,group,orthogonal
1733482,8,4.0,Adenosine A1 receptor,1.8,FALSE,CHEMBL3234964,Nc1nc(SCc2csc(n2)N3CCOCC3)nc(c4ccc5OCOc5c4)c1C#N,1.0,114,Homo sapiens,159,P30542,1.0,PRIMARY
1369782,16,10.0,Adenosine A2a receptor,1.0,FALSE,CHEMBL2096798,CCn1nnc(n1)[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)nc(N[C@H](C)Cc5ccc(OC)cc5)nc34,1.0,252,Homo sapiens,326,P29274,1.0,PRIMARY
475702,10,4.0,Alpha-1a adrenergic receptor,83.0,FALSE,CHEMBL481322,COCc1c(Cl)ccc2[C@@H](CCc12)c3ncc[nH]3,1.0,125,Homo sapiens,146,P35348,1.0,PRIMARY
562574,8,5.0,Androgen Receptor,59.0,FALSE,CHEMBL551269,CN1[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C\C(=C/c5cncnc5)\[C@@H]4O)[C@@]2(C)C=CC1=O,1.0,56,Homo sapiens,187,P10275,1.0,PRIMARY
165078,75,7.0,Bile acid receptor FXR,15.0,FALSE,CHEMBL318457,CC(C)c1onc(c1COc2ccc(\C=C\c3cccc(c3)C(=O)O)c(Cl)c2)c4c(Cl)cccc4Cl,1.0,11180,Homo sapiens,387,Q96RI1,1.0,PRIMARY
1428004,19,2.0,Bombesin receptor subtype-3,1.4,FALSE,CHEMBL2164575,Cc1ccc2Nc3nc(ccc3CN(c2c1C)S(=O)(=O)c4ccc(cc4)C(C)(C)C)C(F)(F)F,1.0,10679,Homo sapiens,2399,P32247,1.0,PRIMARY
49345,49,12.0,Cannabinoid CB1 receptor,0.32,FALSE,CHEMBL285932,Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(I)cc3)C(=O)NN4CCCCC4,1.0,87,Homo sapiens,172,P21554,1.0,PRIMARY
488282,32,11.0,Cannabinoid CB2 receptor,7.0,FALSE,CHEMBL468176,Fc1ccc(c(Cl)c1)c2noc(n2)C3CCN(CC3)c4cnc5ccc(Cl)cc5c4,1.0,259,Homo sapiens,104,P34972,1.0,PRIMARY
163804,34,15.0,Delta opioid receptor,1.3,FALSE,CHEMBL317956,CC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)C)C(=O)NCC(=O)N,1.0,136,Homo sapiens,242,P41143,1.0,PRIMARY
1828080,5,2.0,Dopamine D2 receptor,37.15,FALSE,CHEMBL3394266,CCCN(CCCCCCNc1nc(N)n2nc(nc2n1)c3occc3)CCc4cccc5NC(=O)Cc45,1.0,72,Homo sapiens,129,P14416,1.0,PRIMARY
579864,22,9.0,Dopamine D3 receptor,0.52,FALSE,CHEMBL571992,CCCN(CCN1CCN(CC1)c2nccc3ccccc23)[C@H]4CCc5nc(N)sc5C4,1.0,130,Homo sapiens,149,P35462,1.0,PRIMARY
1162082,29,8.0,Glucocorticoid receptor,1.2,FALSE,CHEMBL1801012,CC(C)([C@@H](c1ccccc1)c2ccc(O)cc2)C(=O)Nc3nccs3,1.0,25,Homo sapiens,371,P04150,1.0,PRIMARY
294106,77,6.0,G-protein coupled receptor 35,2.1,FALSE,CHEMBL177880,OC(=O)c1cc2ccccc2c(Cc3c(O)c(cc4ccccc34)C(=O)O)c1O,1.0,103700,Homo sapiens,4970,Q9HC97,1.0,PRIMARY
1728049,10,4.0,Histamine H3 receptor,0.42,FALSE,CHEMBL3221637,CC(C)N1CCC(CC1)Oc2ccc(cc2)C3(CCOCC3)C(=O)N,1.0,10280,Homo sapiens,2467,Q9Y5N1,1.0,PRIMARY
595595,10,5.0,Histamine H4 receptor,1.12,FALSE,CHEMBL595180,CN1CCN(CC1)c2cc(NCc3c(Cl)cccc3Cl)nc(N)n2,1.0,11290,Homo sapiens,2075,Q9H3N8,1.0,PRIMARY
508879,6,2.0,Hydroxycarboxylic acid receptor 2,8.0,FALSE,CHEMBL482698,OC(=O)C1=C(CCCC1)NC(=O)CCc2ccc3cc(O)ccc3c2,1.0,100579,Homo sapiens,2103,Q8TDS4,1.0,PRIMARY
316568,18,7.0,Kappa opioid receptor,1.8,FALSE,CHEMBL370272,CCC(=O)O[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@@H](C[C@]3(C)[C@H]2C1=O)c4cocc4,1.0,137,Homo sapiens,177,P41145,1.0,PRIMARY
338339,6,3.0,Lysophosphatidic acid receptor Edg-7,3.0,FALSE,CHEMBL201482,CCCCCCCCOC[C@H](COP(=S)(O)O)OCCCCCCCC,1.0,19689,Homo sapiens,1571,Q9UBY5,1.0,PRIMARY
353801,12,6.0,Melanocortin receptor 1,4.7,FALSE,CHEMBL211419,CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc2ccccc2)C(=O)N3C[C@@H](C[C@H]3CCCN=C(N)N)OCc4ccc5ccccc5c4,1.0,11869,Homo sapiens,2113,Q01726,1.0,PRIMARY
683594,14,5.0,Melanocortin receptor 4,2.0,FALSE,CHEMBL1209788,Cc1cc2[C@H](OC3(CCN(CC3)C(=O)[C@@H]4CN(C[C@H]4c5ccc(F)cc5F)C6CCOCC6)c2cc1Cl)C(C)(C)C#N,1.0,10142,Homo sapiens,1215,P32245,1.0,PRIMARY
491255,7,3.0,Melatonin receptor 1B,0.42,FALSE,CHEMBL491604,COc1ccc2cc(cc(CCNC(=O)C)c2c1)c3cccc(C=O)c3,1.0,11085,Homo sapiens,269,P49286,1.0,PRIMARY
1440123,62,57.0,Metabotropic glutamate receptor 2,15.0,FALSE,CHEMBL2179319,FC(F)(F)c1c(ccn2c(CC3CC3)nnc12)N4CCC(CC4)c5ccccc5,1.0,12895,Homo sapiens,3441,Q14416,1.0,PRIMARY
1177420,12,6.0,Metabotropic glutamate receptor 4,7.0,FALSE,CHEMBL1830711,C1Cc2n[nH]cc2c3nc(Nc4ncccn4)sc3C1,1.0,11054,Homo sapiens,1072,Q14833,1.0,PRIMARY
1422488,10,8.0,Metabotropic glutamate receptor 5,70.0,FALSE,CHEMBL2151817,C[C@@H](NC(=O)c1ccc(OCc2cccc(F)c2)nc1)C(C)(C)C,1.0,11280,Homo sapiens,1549,P41594,1.0,PRIMARY
1352222,7,5.0,Mu opioid receptor,7.0,FALSE,CHEMBL2048786,CN1CC[C@]23[C@H]4Oc5c(NCc6cccc(O)c6)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,1.0,129,Homo sapiens,349,P35372,1.0,PRIMARY
1759989,8,2.0,Muscarinic acetylcholine receptor M4,13.0,FALSE,CHEMBL3289442,CCOC(=O)N1CCC(C)(CN2CCC3(CC2)CN(c4ncccc34)S(=O)(=O)C)CC1,1.0,214,Homo sapiens,117,P08173,1.0,PRIMARY
400492,25,4.0,Neurokinin 1 receptor,0.12,FALSE,CHEMBL235363,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CCCN=C(N)N)C(=O)N,1.0,250,Homo sapiens,235,P25103,1.0,PRIMARY
707012,19,4.0,Neuronal acetylcholine receptor protein alpha-7 subunit,1.0,FALSE,CHEMBL1258006,O=C(N[C@@H]1C2CCN(CC2)[C@H]1Cc3cccnc3)c4oc5ccccc5c4,1.0,10635,Homo sapiens,833,P36544,1.0,PRIMARY
