EntryName,filename
hsa01521 EGFR tyrosine kinase inhibitor resistance,hsa01521.pathview.png
hsa01522 Endocrine resistance,hsa01522.pathview.png
hsa01524 Platinum drug resistance,hsa01524.pathview.png
hsa02010 ABC transporters,hsa02010.pathview.png
hsa03008 Ribosome biogenesis in eukaryotes,hsa03008.pathview.png
hsa03010 Ribosome,hsa03010.pathview.png
hsa03013 RNA transport,hsa03013.pathview.png
hsa03015 mRNA surveillance pathway,hsa03015.pathview.png
hsa03018 RNA degradation,hsa03018.pathview.png
hsa03020 RNA polymerase,hsa03020.pathview.png
hsa04310 Wnt signaling pathway,hsa04310.pathview.png
hsa04320 Dorso-ventral axis formation,hsa04320.pathview.png
hsa04330 Notch signaling pathway,hsa04330.pathview.png
hsa04340 Hedgehog signaling pathway,hsa04340.pathview.png
hsa04350 TGF-beta signaling pathway,hsa04350.pathview.png
hsa04360 Axon guidance,hsa04360.pathview.png
hsa04370 VEGF signaling pathway,hsa04370.pathview.png
hsa04380 Osteoclast differentiation,hsa04380.pathview.png
hsa04390 Hippo signaling pathway,hsa04390.pathview.png
hsa04392 Hippo signaling pathway -multiple species,hsa04392.pathview.png
hsa04510 Focal adhesion,hsa04510.pathview.png
hsa04512 ECM-receptor interaction,hsa04512.pathview.png
hsa04514 Cell adhesion molecules (CAMs),hsa04514.pathview.png
hsa04520 Adherens junction,hsa04520.pathview.png
hsa04530 Tight junction,hsa04530.pathview.png
hsa04540 Gap junction,hsa04540.pathview.png
hsa04550 Signaling pathways regulating pluripotency of stem cells,hsa04550.pathview.png
hsa04610 Complement and coagulation cascades,hsa04610.pathview.png
hsa04611 Platelet activation,hsa04611.pathview.png
hsa04612 Antigen processing and presentation,hsa04612.pathview.png
hsa04614 Renin-angiotensin system,hsa04614.pathview.png
hsa04620 Toll-like receptor signaling pathway,hsa04620.pathview.png
hsa04621 NOD-like receptor signaling pathway,hsa04621.pathview.png
hsa04622 RIG-I-like receptor signaling pathway,hsa04622.pathview.png
hsa04623 Cytosolic DNA-sensing pathway,hsa04623.pathview.png
hsa04630 Jak-STAT signaling pathway,hsa04630.pathview.png
hsa04640 Hematopoietic cell lineage,hsa04640.pathview.png
hsa04650 Natural killer cell mediated cytotoxicity,hsa04650.pathview.png
hsa04660 T cell receptor signaling pathway,hsa04660.pathview.png
hsa04662 B cell receptor signaling pathway,hsa04662.pathview.png
hsa04664 Fc epsilon RI signaling pathway,hsa04664.pathview.png
hsa04666 Fc gamma R-mediated phagocytosis,hsa04666.pathview.png
hsa04668 TNF signaling pathway,hsa04668.pathview.png
hsa04670 Leukocyte transendothelial migration,hsa04670.pathview.png
hsa04672 Intestinal immune network for IgA production,hsa04672.pathview.png
hsa04710 Circadian rhythm,hsa04710.pathview.png
hsa04713 Circadian entrainment,hsa04713.pathview.png
hsa04720 Long-term potentiation,hsa04720.pathview.png
hsa04721 Synaptic vesicle cycle,hsa04721.pathview.png
hsa04722 Neurotrophin signaling pathway,hsa04722.pathview.png
hsa04723 Retrograde endocannabinoid signaling,hsa04723.pathview.png
hsa04724 Glutamatergic synapse,hsa04724.pathview.png
hsa04725 Cholinergic synapse,hsa04725.pathview.png
hsa04726 Serotonergic synapse,hsa04726.pathview.png
hsa04727 GABAergic synapse,hsa04727.pathview.png
hsa04728 Dopaminergic synapse,hsa04728.pathview.png
hsa04730 Long-term depression,hsa04730.pathview.png
hsa04740 Olfactory transduction,hsa04740.pathview.png
hsa04742 Taste transduction,hsa04742.pathview.png
hsa04744 Phototransduction,hsa04744.pathview.png
hsa04750 Inflammatory mediator regulation of TRP channels,hsa04750.pathview.png
hsa04810 Regulation of actin cytoskeleton,hsa04810.pathview.png
hsa04910 Insulin signaling pathway,hsa04910.pathview.png
hsa04911 Insulin secretion,hsa04911.pathview.png
hsa04912 GnRH signaling pathway,hsa04912.pathview.png
hsa04913 Ovarian steroidogenesis,hsa04913.pathview.png
hsa04914 Progesterone-mediated oocyte maturation,hsa04914.pathview.png
hsa04915 Estrogen signaling pathway,hsa04915.pathview.png
hsa04916 Melanogenesis,hsa04916.pathview.png
hsa04917 Prolactin signaling pathway,hsa04917.pathview.png
hsa04918 Thyroid hormone synthesis,hsa04918.pathview.png
hsa04919 Thyroid hormone signaling pathway,hsa04919.pathview.png
hsa04920 Adipocytokine signaling pathway,hsa04920.pathview.png
hsa04921 Oxytocin signaling pathway,hsa04921.pathview.png
hsa04922 Glucagon signaling pathway,hsa04922.pathview.png
hsa04923 Regulation of lipolysis in adipocytes,hsa04923.pathview.png
hsa04924 Renin secretion,hsa04924.pathview.png
hsa04925 Aldosterone synthesis and secretion,hsa04925.pathview.png
hsa04930 Type II diabetes mellitus,hsa04930.pathview.png
hsa04931 Insulin resistance,hsa04931.pathview.png
hsa04932 Non-alcoholic fatty liver disease (NAFLD),hsa04932.pathview.png
hsa04933 AGE-RAGE signaling pathway in diabetic complications,hsa04933.pathview.png
hsa04940 Type I diabetes mellitus,hsa04940.pathview.png
hsa04950 Maturity onset diabetes of the young,hsa04950.pathview.png
hsa04960 Aldosterone-regulated sodium reabsorption,hsa04960.pathview.png
hsa04961 Endocrine and other factor-regulated calcium reabsorption,hsa04961.pathview.png
hsa04962 Vasopressin-regulated water reabsorption,hsa04962.pathview.png
hsa04964 Proximal tubule bicarbonate reclamation,hsa04964.pathview.png
hsa04966 Collecting duct acid secretion,hsa04966.pathview.png
hsa04970 Salivary secretion,hsa04970.pathview.png
hsa04971 Gastric acid secretion,hsa04971.pathview.png
hsa04972 Pancreatic secretion,hsa04972.pathview.png
hsa04973 Carbohydrate digestion and absorption,hsa04973.pathview.png
hsa04974 Protein digestion and absorption,hsa04974.pathview.png
hsa04975 Fat digestion and absorption,hsa04975.pathview.png
hsa04976 Bile secretion,hsa04976.pathview.png
hsa04977 Vitamin digestion and absorption,hsa04977.pathview.png
hsa04978 Mineral absorption,hsa04978.pathview.png
hsa05010 Alzheimer's disease,hsa05010.pathview.png
hsa05012 Parkinson's disease,hsa05012.pathview.png
hsa05014 Amyotrophic lateral sclerosis (ALS),hsa05014.pathview.png
hsa05016 Huntington's disease,hsa05016.pathview.png
hsa05020 Prion diseases,hsa05020.pathview.png
hsa05030 Cocaine addiction,hsa05030.pathview.png
hsa05031 Amphetamine addiction,hsa05031.pathview.png
hsa05032 Morphine addiction,hsa05032.pathview.png
hsa05033 Nicotine addiction,hsa05033.pathview.png
hsa05034 Alcoholism,hsa05034.pathview.png
hsa05100 Bacterial invasion of epithelial cells,hsa05100.pathview.png
hsa05110 Vibrio cholerae infection,hsa05110.pathview.png
hsa05120 Epithelial cell signaling in Helicobacter pylori infection,hsa05120.pathview.png
hsa05130 Pathogenic Escherichia coli infection,hsa05130.pathview.png
hsa05131 Shigellosis,hsa05131.pathview.png
hsa05132 Salmonella infection,hsa05132.pathview.png
hsa05133 Pertussis,hsa05133.pathview.png
hsa05134 Legionellosis,hsa05134.pathview.png
hsa05140 Leishmaniasis,hsa05140.pathview.png
hsa05142 Chagas disease (American trypanosomiasis),hsa05142.pathview.png
hsa05143 African trypanosomiasis,hsa05143.pathview.png
hsa05144 Malaria,hsa05144.pathview.png
hsa05145 Toxoplasmosis,hsa05145.pathview.png
hsa05146 Amoebiasis,hsa05146.pathview.png
hsa05150 Staphylococcus aureus infection,hsa05150.pathview.png
hsa05152 Tuberculosis,hsa05152.pathview.png
hsa05160 Hepatitis C,hsa05160.pathview.png
hsa05161 Hepatitis B,hsa05161.pathview.png
hsa05162 Measles,hsa05162.pathview.png
