ReactomeID,filename
Neuronal System,R-HSA-112316
SALM protein interactions at the synapses,R-HSA-8849932
Potassium Channels,R-HSA-1296071
Voltage gated Potassium channels,R-HSA-1296072
Tandem pore domain potassium channels,R-HSA-1296346
TWIK-releated acid-sensitive K+ channel (TASK),R-HSA-1299316
TWIK-related alkaline pH activated K+ channel (TALK),R-HSA-1299361
TWIK-related spinal cord K+ channel (TRESK),R-HSA-1299344
TWIK related potassium channel (TREK),R-HSA-1299503
Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK),R-HSA-1299308
Tandem pore domain halothane-inhibited K+ channel (THIK),R-HSA-1299287
HCN channels,R-HSA-1296061
Inwardly rectifying K+ channels,R-HSA-1296065
Classical Kir channels,R-HSA-1296053
Potassium transport channels,R-HSA-1296067
G protein gated Potassium channels,R-HSA-1296059
Activation of G protein gated Potassium channels,R-HSA-1296041
ATP sensitive Potassium channels,R-HSA-1296025
Ca2+ activated K+ channels,R-HSA-1296052
Transmission across Chemical Synapses,R-HSA-112315
Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels,R-HSA-112308
Neurotransmitter Clearance In The Synaptic Cleft,R-HSA-112311
Serotonin clearance from the synaptic cleft,R-HSA-380615
Metabolism of serotonin,R-HSA-380612
Dopamine clearance from the synaptic cleft,R-HSA-379401
Enzymatic degradation of dopamine by COMT,R-HSA-379397
Enzymatic degradation of Dopamine by monoamine oxidase,R-HSA-379398
Neurotransmitter uptake and Metabolism In Glial Cells,R-HSA-112313
Astrocytic Glutamate-Glutamine Uptake And Metabolism,R-HSA-210455
Neurotransmitter Release Cycle,R-HSA-112310
Norepinephrine Neurotransmitter Release Cycle,R-HSA-181430
Acetylcholine Neurotransmitter Release Cycle,R-HSA-264642
Serotonin Neurotransmitter Release Cycle,R-HSA-181429
Dopamine Neurotransmitter Release Cycle,R-HSA-212676
"GABA synthesis, release, reuptake and degradation",R-HSA-888590
Reuptake of GABA,R-HSA-888593
Degradation of GABA,R-HSA-916853
GABA synthesis,R-HSA-888568
Glutamate Neurotransmitter Release Cycle,R-HSA-210500
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell,R-HSA-112314
Activation of Kainate Receptors upon glutamate binding,R-HSA-451326
Ionotropic activity of Kainate Receptors,R-HSA-451306
Activation of Ca-permeable Kainate Receptor,R-HSA-451308
Activation of Na-permeable Kainate Receptors,R-HSA-451307
Presynaptic function of Kainate receptors,R-HSA-500657
Acetylcholine Binding And Downstream Events,R-HSA-181431
Activation of Nicotinic Acetylcholine Receptors,R-HSA-629602
Postsynaptic nicotinic acetylcholine receptors,R-HSA-622327
Highly sodium permeable acetylcholine nicotinic receptors,R-HSA-629587
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,R-HSA-629594
Presynaptic nicotinic acetylcholine receptors,R-HSA-622323
Highly calcium permeable nicotinic acetylcholine receptors,R-HSA-629597
Highly sodium permeable acetylcholine nicotinic receptors,R-HSA-629587
Activation of NMDA receptor upon glutamate binding and postsynaptic events,R-HSA-442755
"Unblocking of NMDA receptor, glutamate binding and activation",R-HSA-438066
Post NMDA receptor activation events,R-HSA-438064
CREB phosphorylation through the activation of CaMKII,R-HSA-442729
CREB phosphorylation through the activation of CaMKK,R-HSA-442717
Activation of CaMK IV,R-HSA-442745
CREB phosphorylation through the activation of Adenylate Cyclase,R-HSA-442720
CREB phosphorylation through the activation of Ras,R-HSA-442742
Ras activation uopn Ca2+ infux through NMDA receptor,R-HSA-442982
RSK activation,R-HSA-444257
"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity",R-HSA-399721
Trafficking of AMPA receptors,R-HSA-399719
Trafficking of GluR2-containing AMPA receptors,R-HSA-416993
Activation of AMPA receptors,R-HSA-399710
GABA receptor activation,R-HSA-977443
GABA A receptor activation,R-HSA-977441
GABA A (rho) receptor activation,R-HSA-977442
GABA B receptor activation,R-HSA-977444
Activation of GABAB receptors,R-HSA-991365
Inhibition of adenylate cyclase pathway,R-HSA-997269
Adenylate cyclase inhibitory pathway,R-HSA-170670
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,R-HSA-997272
Protein-protein interactions at synapses,R-HSA-6794362
Interactions of neurexins and neuroligins at synapses,R-HSA-6794361
Transmission across Electrical Synapses,R-HSA-112307
Electric Transmission Across Gap Junctions,R-HSA-112303
Metabolism,R-HSA-1430728
Pyrophosphate hydrolysis,R-HSA-71737
Mitochondrial iron-sulfur cluster biogenesis,R-HSA-1362409
Electron transport from NADPH to Ferredoxin,R-HSA-2395516
Metabolism of porphyrins,R-HSA-189445
Heme degradation,R-HSA-189483
Heme biosynthesis,R-HSA-189451
Cytosolic iron-sulfur cluster assembly,R-HSA-2564830
Reversible hydration of carbon dioxide,R-HSA-1475029
The citric acid (TCA) cycle and respiratory electron transport,R-HSA-1428517
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",R-HSA-163200
Formation of ATP by chemiosmotic coupling,R-HSA-163210
Respiratory electron transport,R-HSA-611105
Complex I biogenesis,R-HSA-6799198
Mitochondrial Uncoupling Proteins,R-HSA-166187
The fatty acid cycling model,R-HSA-167826
The proton buffering model,R-HSA-167827
Pyruvate metabolism and Citric Acid (TCA) cycle,R-HSA-71406
Citric acid cycle (TCA cycle),R-HSA-71403
Pyruvate metabolism,R-HSA-70268
Regulation of pyruvate dehydrogenase (PDH) complex,R-HSA-204174
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,R-HSA-880009
Metabolism of amino acids and derivatives,R-HSA-71291
Sulfur amino acid metabolism,R-HSA-1614635
Degradation of cysteine and homocysteine,R-HSA-1614558
Sulfide oxidation to sulfate,R-HSA-1614517
Methionine salvage pathway,R-HSA-1237112
Cysteine formation from homocysteine,R-HSA-1614603
Melanin biosynthesis,R-HSA-5662702
Amino acid synthesis and interconversion (transamination),R-HSA-70614
Serine biosynthesis,R-HSA-977347
Glyoxylate metabolism and glycine degradation,R-HSA-389661
Glycine degradation,R-HSA-6783984
Selenoamino acid metabolism,R-HSA-2408522
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",R-HSA-2408508
Selenocysteine synthesis,R-HSA-2408557
Methylation of MeSeH for excretion,R-HSA-2408552
Formation of selenosugars for excretion,R-HSA-2408499
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,R-HSA-2408550
Metabolism of ingested MeSeO2H into MeSeH,R-HSA-5263617
SeMet incorporation into proteins,R-HSA-2408517
Branched-chain amino acid catabolism,R-HSA-70895
Carnitine synthesis,R-HSA-71262
Metabolism of polyamines,R-HSA-351202
Regulation of ornithine decarboxylase (ODC),R-HSA-350562
Interconversion of polyamines,R-HSA-351200
Creatine metabolism,R-HSA-71288
Methionine salvage pathway,R-HSA-1237112
Urea cycle,R-HSA-70635
Agmatine biosynthesis,R-HSA-351143
Amine-derived hormones,R-HSA-209776
Serotonin and melatonin biosynthesis,R-HSA-209931
Thyroxine biosynthesis,R-HSA-209968
Regulation of thyroid hormone activity,R-HSA-350864
Catecholamine biosynthesis,R-HSA-209905
Threonine catabolism,R-HSA-8849175
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",R-HSA-6788656
Lysine catabolism,R-HSA-71064
Histidine catabolism,R-HSA-70921
Proline catabolism,R-HSA-70688
Phenylalanine and tyrosine catabolism,R-HSA-71182
Tryptophan catabolism,R-HSA-71240
Metabolism of lipids and lipoproteins,R-HSA-556833
Arachidonic acid metabolism,R-HSA-2142753
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-2162123
Synthesis of 5-eicosatetraenoic acids,R-HSA-2142688
Synthesis of 15-eicosatetraenoic acid derivatives,R-HSA-2142770
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),R-HSA-2142670
Synthesis of Lipoxins (LX),R-HSA-2142700
Synthesis of Leukotrienes (LT) and Eoxins (EX),R-HSA-2142691
Synthesis of 12-eicosatetraenoic acid derivatives,R-HSA-2142712
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),R-HSA-2142816
Synthesis of Hepoxilins (HX) and Trioxilins (TrX),R-HSA-2142696
Regulation of cholesterol biosynthesis by SREBP (SREBF),R-HSA-1655829
Activation of gene expression by SREBF (SREBP),R-HSA-2426168
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,R-HSA-2046104
Linoleic acid (LA) metabolism,R-HSA-2046105
alpha-linolenic acid (ALA) metabolism,R-HSA-2046106
"Lipid digestion, mobilization, and transport",R-HSA-73923
Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis,R-HSA-163560
Trafficking of dietary sterols,R-HSA-265473
Digestion of dietary lipid,R-HSA-192456
Lipoprotein metabolism,R-HSA-174824
VLDL interactions,R-HSA-8855121
Reelin signalling pathway,R-HSA-8866376
VLDLR internalisation and degradation,R-HSA-8866427
VLDL biosynthesis,R-HSA-8866423
Chylomicron-mediated lipid transport,R-HSA-174800
HDL-mediated lipid transport,R-HSA-194223
LDL-mediated lipid transport,R-HSA-171052
Wax biosynthesis,R-HSA-8848584
Phospholipid metabolism,R-HSA-1483257
Glycerophospholipid biosynthesis,R-HSA-1483206
Synthesis of CL,R-HSA-1483076
Acyl chain remodelling of PC,R-HSA-1482788
Synthesis of PE,R-HSA-1483213
Acyl chain remodelling of PS,R-HSA-1482801
Choline catabolism,R-HSA-6798163
Hydrolysis of LPE,R-HSA-1483152
Acyl chain remodelling of PE,R-HSA-1482839
Synthesis of PS,R-HSA-1483101
Synthesis of PA,R-HSA-1483166
Hydrolysis of LPC,R-HSA-1483115
Acyl chain remodeling of DAG and TAG,R-HSA-1482883
Acyl chain remodelling of PG,R-HSA-1482925
Synthesis of BMP,R-HSA-1483171
Synthesis of PG,R-HSA-1483148
Synthesis of PI,R-HSA-1483226
