CHEMICAL_ID,UNIPROTKB,TARGET_NAME,group,orthogonal,is_agonist,canonical_smiles,ENTREZ_GENE,ENTRY_NAME,REACTOME,GO_CC,GO_BP,GO_MF,KEGG,DATA_SOURCE
CH5424802,Q9UM73,ALK tyrosine kinase receptor,0.0,NA,NA,NA,238,ALK,R-HSA-162906 HIV Infection R-HSA-162909 Host Interactions of HIV factors R-HSA-1640170 Cell Cycle R-HSA-1643685 Disease R-HSA-177243 Interactions of Rev with host cellular proteins R-HSA-180746 Nuclear import of Rev protein R-HSA-5663205 Infectious disease R-HSA-606279 Deposition of new CENPA-containing nucleosomes at the centromere R-HSA-73886 Chromosome Maintenance R-HSA-774815 Nucleosome assembly,GO:0005622 intracellular IEA 9174053 GO:0005887 integral component of plasma membrane IDA 19459784 GO:0005887 integral component of plasma membrane TAS 23382219 GO:0043234 protein complex IDA 19056867 GO:0070062 extracellular exosome IDA,activation of MAPK activity GO:0000187 19459784 TAS signal transduction GO:0007165 19459784 TAS transmembrane receptor protein tyrosine kinase signaling pathway GO:0007169 IEA cell proliferation GO:0008283 19459784 TAS phosphorylation GO:0016310 9174053 IDA phosphorylation GO:0016310 19459784 TAS peptidyl-tyrosine phosphorylation GO:0018108 IEA NIK/NF-kappaB signaling GO:0038061 IEA regulation of apoptotic process GO:0042981 19459784 TAS protein autophosphorylation GO:0046777 9174053 IDA protein autophosphorylation GO:0046777 19459784 TAS neuron development GO:0048666 19459784 TAS positive regulation of NF-kappaB transcription factor activity GO:0051092 19459784 TAS,NF-kappaB-inducing kinase activity TAS 19459784 GO:0004704 protein tyrosine kinase activity IDA 9174053 GO:0004713 transmembrane receptor protein tyrosine kinase activity IDA 9174053 GO:0004714 transmembrane receptor protein tyrosine kinase activity TAS 19459784 GO:0004714 protein binding IPI 17681947 22939624 GO:0005515 ATP binding IEA GO:0005524 identical protein binding IPI 25517749 GO:0042802,hsa05223 Non-small cell lung cancer - Homo sapiens (human),chemicalprobes.org
BAZ2-ICR,Q9UIF9,Bromodomain adjacent to zinc finger domain protein 2A,0.0,NA,NA,NA,11176,BAZ2A,Epigenetic regulation of gene expression R-HSA-212165 NoRC negatively regulates rRNA expression R-HSA-427413 Negative epigenetic regulation of rRNA expression R-HSA-5250941 Gene Expression R-HSA-74160,GO:0005654 nucleoplasm IDA GO:0005677 chromatin silencing complex ISS GO:0005730 nucleolus ISS GO:0005737 cytoplasm IDA GO:0033553 rDNA heterochromatin ISS,"chromatin silencing at rDNA ISS GO:0000183 DNA methylation ISS GO:0006306 chromatin remodeling NAS 11532953 GO:0006338 transcription, DNA-templated NAS 10662543 GO:0006351 regulation of transcription, DNA-templated NAS 10662543 GO:0006355 histone deacetylation ISS GO:0016575",RNA polymerase I CORE element sequence-specific DNA binding 22368283 GO:0001164 IDA RNA binding GO:0003723 ISS protein binding 17474147 26100909 GO:0005515 IPI zinc ion binding GO:0008270 IEA ligand-dependent nuclear receptor binding 10662543 GO:0016922 NAS histone binding 22368283 GO:0042393 IPI lysine-acetylated histone binding GO:0070577 ISS,,chemicalprobes.org
GSK2801,Q9UIF9,Bromodomain adjacent to zinc finger domain protein 2A,0.0,NA,NA,NA,11176,BAZ2A,Epigenetic regulation of gene expression R-HSA-212165 NoRC negatively regulates rRNA expression R-HSA-427413 Negative epigenetic regulation of rRNA expression R-HSA-5250941 Gene Expression R-HSA-74160,GO:0005654 nucleoplasm IDA GO:0005677 chromatin silencing complex ISS GO:0005730 nucleolus ISS GO:0005737 cytoplasm IDA GO:0033553 rDNA heterochromatin ISS,"chromatin silencing at rDNA ISS GO:0000183 DNA methylation ISS GO:0006306 chromatin remodeling NAS 11532953 GO:0006338 transcription, DNA-templated NAS 10662543 GO:0006351 regulation of transcription, DNA-templated NAS 10662543 GO:0006355 histone deacetylation ISS GO:0016575",RNA polymerase I CORE element sequence-specific DNA binding 22368283 GO:0001164 IDA RNA binding GO:0003723 ISS protein binding 17474147 26100909 GO:0005515 IPI zinc ion binding GO:0008270 IEA ligand-dependent nuclear receptor binding 10662543 GO:0016922 NAS histone binding 22368283 GO:0042393 IPI lysine-acetylated histone binding GO:0070577 ISS,,chemicalprobes.org
BAZ2-ICR,Q9UIF8,Bromodomain adjacent to zinc finger domain protein 2B,0.0,NA,NA,NA,29994,BAZ2B,,nucleus GO:0005634 IEA,"NAS 10662543 transcription, DNA-templated GO:0006351 NAS 10662543 regulation of transcription, DNA-templated GO:0006355",DNA binding GO:0003677 IEA protein binding GO:0005515 IPI 10662543 zinc ion binding GO:0008270 IEA,,chemicalprobes.org
GSK2801,Q9UIF8,Bromodomain adjacent to zinc finger domain protein 2B,0.0,NA,NA,NA,29994,BAZ2B,,nucleus GO:0005634 IEA,"NAS 10662543 transcription, DNA-templated GO:0006351 NAS 10662543 regulation of transcription, DNA-templated GO:0006355",DNA binding GO:0003677 IEA protein binding GO:0005515 IPI 10662543 zinc ion binding GO:0008270 IEA,,chemicalprobes.org
JQ1,P25440,Bromodomain-containing protein 2,0.0,NA,NA,NA,6046,BRD2,,IEA GO:0005634 nucleus IEA GO:0005737 cytoplasm,"nucleosome assembly IMP 18406326 GO:0006334 transcription, DNA-templated IEA GO:0006351 regulation of transcription from RNA polymerase II promoter IDA 18406326 GO:0006357 spermatogenesis TAS 9693039 GO:0007283 chromatin modification IEA GO:0016568",IDA 18406326 chromatin binding GO:0003682 IPI 20709061 24229708 protein binding GO:0005515 IDA 18406326 lysine-acetylated histone binding GO:0070577,,chemicalprobes.org
PFI-1,P25440,Bromodomain-containing protein 2,0.0,NA,NA,NA,6046,BRD2,,IEA GO:0005634 nucleus IEA GO:0005737 cytoplasm,"nucleosome assembly IMP 18406326 GO:0006334 transcription, DNA-templated IEA GO:0006351 regulation of transcription from RNA polymerase II promoter IDA 18406326 GO:0006357 spermatogenesis TAS 9693039 GO:0007283 chromatin modification IEA GO:0016568",IDA 18406326 chromatin binding GO:0003682 IPI 20709061 24229708 protein binding GO:0005515 IDA 18406326 lysine-acetylated histone binding GO:0070577,,chemicalprobes.org
I-BET151,P25440,Bromodomain-containing protein 2,0.0,NA,NA,NA,6046,BRD2,,IEA GO:0005634 nucleus IEA GO:0005737 cytoplasm,"nucleosome assembly IMP 18406326 GO:0006334 transcription, DNA-templated IEA GO:0006351 regulation of transcription from RNA polymerase II promoter IDA 18406326 GO:0006357 spermatogenesis TAS 9693039 GO:0007283 chromatin modification IEA GO:0016568",IDA 18406326 chromatin binding GO:0003682 IPI 20709061 24229708 protein binding GO:0005515 IDA 18406326 lysine-acetylated histone binding GO:0070577,,chemicalprobes.org
JQ1,Q15059,Bromodomain-containing protein 3,0.0,NA,NA,NA,8019,BRD3,,nucleus GO:0005634 IEA,"GO:0006351 transcription, DNA-templated IEA GO:0006357 regulation of transcription from RNA polymerase II promoter 18406326 IDA GO:0016568 chromatin modification IEA",18406326 IDA GO:0003682 chromatin binding 20195357 IPI GO:0005515 protein binding 22464331 IDA GO:0070577 lysine-acetylated histone binding,,chemicalprobes.org
PFI-1,Q15059,Bromodomain-containing protein 3,0.0,NA,NA,NA,8019,BRD3,,nucleus GO:0005634 IEA,"GO:0006351 transcription, DNA-templated IEA GO:0006357 regulation of transcription from RNA polymerase II promoter 18406326 IDA GO:0016568 chromatin modification IEA",18406326 IDA GO:0003682 chromatin binding 20195357 IPI GO:0005515 protein binding 22464331 IDA GO:0070577 lysine-acetylated histone binding,,chemicalprobes.org
